workflow	run	dir	mode	run_mtime	slurm_file	active_in_squeue
nwchem	19161	4node-profiled-19161	trace	2026-05-20 00:16:02	missing	no
nwchem	19229	4node-profiled-19229	trace	2026-05-20 03:53:11	missing	no
nwchem	18896	single-18896	single	2026-05-19 20:52:13	present	no
parsl	18908	4node-18908	multi	2026-05-19 20:52:55	missing	no
parsl	18998	4node-18998	multi	2026-05-19 21:47:32	missing	no
parsl	19019	4node-profiled-19019	trace	2026-05-19 21:54:48	missing	no
parsl	19056	4node-profiled-19056	trace	2026-05-19 22:16:08	missing	no
parsl	19101	4node-profiled-19101	trace	2026-05-19 23:34:37	missing	no
parsl	18897	single-18897	single	2026-05-19 19:45:43	present	no
parsl	18898	single-18898	single	2026-05-19 19:47:13	present	no
parsl	18900	single-18900	single	2026-05-19 20:33:58	present	no
pegasus	18950	4node-18950	multi	2026-05-19 21:29:06	missing	no
pegasus	19001	4node-19001	multi	2026-05-19 21:37:13	missing	no
pegasus	19016	4node-profiled-19016	trace	2026-05-19 21:54:30	missing	no
pegasus	19053	4node-profiled-19053	trace	2026-05-19 22:15:05	missing	no
pegasus	18899	single-18899	single	2026-05-19 19:53:45	present	no
pegasus	18906	single-18906	single	2026-05-19 20:38:06	present	no
radical.pilot	18997	4node-18997	multi	2026-05-19 21:54:20	missing	no
radical.pilot	19051	4node-profiled-19051	trace	2026-05-19 22:03:51	missing	no
radical.pilot	19080	4node-profiled-19080	trace	2026-05-19 23:30:02	missing	no
radical.pilot	18903	single-18903	single	2026-05-19 20:35:07	present	no
